501,501,501,501,502,502,496,499,501,501,499,500,500,498,500,500,499,499,501,501,497,497,500,500
501,500,500,501,503,502,500,499,501,501,501,500,501,499,500,500,499,499,500,501,501,497,500,500
500,505,500,500,499,501,500,500,501,501,500,501,499,499,501,500,499,501,499,501,497,501,500,499
500,501,499,500,500,500,500,500,501,502,500,500,499,500,500,500,500,499,501,500,497,497,499,500
505,501,501,500,500,501,499,499,501,501,503,499,499,500,500,500,500,499,501,501,497,501,500,500
500,500,500,501,502,502,500,500,501,501,500,500,499,498,500,500,501,499,501,501,497,497,500,500
505,500,500,500,501,500,500,500,501,501,500,500,500,499,500,500,501,499,501,501,497,498,498,499
501,500,500,500,500,502,500,499,500,501,500,501,499,499,500,500,498,500,501,500,501,497,499,498
500,500,500,500,502,500,499,498,501,501,500,500,501,500,500,501,499,501,501,501,497,497,499,500
500,500,500,500,500,502,496,501,501,501,500,499,501,500,500,500,501,499,501,501,497,497,500,500
500,500,501,499,502,501,499,500,501,501,500,503,499,500,500,500,501,499,501,501,497,498,500,500
505,505,500,500,500,502,500,499,501,501,503,500,499,500,500,500,499,499,501,501,501,497,500,500
500,501,500,500,502,500,500,500,501,501,501,500,500,501,500,500,497,500,501,501,497,497,500,500
500,500,500,499,502,502,498,500,501,501,499,500,501,500,500,500,498,498,502,502,497,497,500,498
500,501,501,501,502,500,499,496,501,501,499,500,499,501,500,500,498,501,501,501,497,497,500,500
500,500,500,500,500,502,500,500,501,501,500,500,500,501,500,500,501,501,499,501,497,497,500,500
505,500,500,500,499,502,500,499,502,501,500,500,500,500,500,500,499,499,500,501,497,497,500,500
500,501,499,501,502,499,498,500,501,501,499,500,500,499,500,501,499,499,501,499,501,497,500,500
500,500,500,501,500,501,500,500,501,501,501,500,499,500,500,500,499,499,501,501,497,500,500,500
500,505,500,501,499,501,500,499,501,501,500,500,499,499,500,500,501,501,501,501,501,497,499,500
500,501,500,500,500,502,500,500,501,501,503,503,499,499,500,500,497,499,501,501,497,497,500,500
500,500,499,500,501,500,500,500,501,501,503,503,500,499,500,500,499,499,501,501,498,497,500,500
500,501,500,500,502,501,500,500,502,501,499,500,499,499,500,500,499,499,501,501,501,497,500,500
501,501,500,500,500,502,500,498,500,501,500,499,500,499,500,500,500,500,501,501,497,497,500,500
500,501,501,500,499,502,500,500,501,501,500,500,499,500,501,500,499,499,499,501,497,497,500,500
501,501,501,499,501,502,501,500,501,501,499,500,499,499,500,500,498,499,501,501,501,497,500,500
500,500,500,501,502,499,498,498,501,502,499,499,501,499,500,500,498,498,501,501,498,497,498,500
501,501,501,500,500,500,501,500,501,501,503,500,499,500,500,500,498,499,501,501,497,497,500,499
500,501,499,501,501,502,499,496,501,501,499,499,499,500,500,500,499,499,501,501,500,497,500,498
499,500,501,500,501,500,500,500,501,501,500,500,500,501,500,500,501,501,501,502,497,497,500,500
500,502,501,500,502,501,496,500,501,501,499,499,501,501,500,500,498,499,501,501,497,497,500,500
500,500,501,501,502,500,500,496,501,501,500,503,498,499,500,500,499,501,501,501,497,497,499,500
500,501,500,501,500,501,500,499,501,501,503,503,499,499,500,500,497,499,501,501,501,497,500,500
501,500,501,500,502,500,500,500,501,501,503,500,501,500,500,500,501,501,501,499,497,497,499,500
500,501,499,500,502,502,500,501,501,501,503,500,499,499,500,500,499,499,501,501,497,501,500,500
501,500,500,501,499,499,496,500,501,501,503,500,500,499,500,501,500,499,501,499,498,497,500,500
500,500,501,501,499,503,498,500,501,501,499,501,501,499,500,500,499,501,501,501,501,497,500,499
502,500,500,500,502,500,500,500,501,500,503,500,499,500,500,500,499,500,501,501,497,497,500,500
500,501,500,500,500,499,500,496,501,501,500,500,499,500,500,500,499,498,501,501,498,497,499,500
500,500,500,499,500,500,500,500,501,501,500,500,501,499,500,500,499,500,501,501,497,497,500,499
500,499,501,501,500,499,496,498,501,502,500,499,499,499,498,500,499,499,501,501,497,500,498,500
501,501,501,500,502,499,496,496,501,501,499,503,500,500,500,500,499,500,501,501,498,498,500,500
500,501,500,500,500,502,501,496,501,501,503,500,500,500,500,500,498,499,501,501,497,497,500,500
500,505,501,500,500,501,496,500,501,501,500,498,500,499,500,500,499,499,501,499,497,497,499,498
499,500,501,501,500,502,501,500,501,501,499,501,499,499,500,500,498,500,501,501,497,497,500,500
500,500,500,499,500,500,500,500,501,501,500,503,500,500,500,500,501,497,501,501,497,501,500,501
500,500,500,500,499,500,498,500,501,501,499,500,499,500,500,500,499,499,501,501,500,497,500,500
501,500,501,501,502,501,499,499,501,501,501,500,499,499,500,500,497,499,501,502,501,497,500,500
500,500,500,501,503,502,500,500,501,501,501,501,501,499,500,500,497,499,501,501,496,497,498,499
500,500,500,500,500,502,499,500,501,501,500,501,500,499,500,500,499,498,501,501,497,501,498,500
501,501,501,499,502,501,500,499,503,501,500,501,499,502,500,500,499,499,501,501,497,497,500,500
501,505,501,501,501,500,500,499,501,501,500,503,499,499,500,500,499,500,500,501,497,497,500,500
500,500,500,500,501,500,499,500,501,501,502,501,498,499,500,500,501,499,501,501,497,500,500,500
499,500,501,501,501,503,500,499,501,501,500,499,500,500,500,500,501,499,501,501,497,498,499,500
500,500,501,501,502,502,500,499,501,500,500,500,499,500,500,500,499,499,501,501,497,497,499,500
500,500,500,500,502,502,500,500,501,501,500,500,499,499,500,500,499,501,501,501,497,497,500,500
500,501,500,500,500,500,500,500,501,501,503,500,499,499,500,500,499,500,501,501,497,497,500,498
500,500,500,500,500,502,496,499,501,501,500,501,500,499,500,500,499,499,501,501,497,497,499,500
500,501,501,501,499,499,498,498,501,501,501,499,499,501,500,500,499,501,501,501,501,497,500,499
501,500,500,500,501,501,500,500,501,501,501,499,501,499,500,500,498,499,501,502,497,497,500,500
500,499,500,500,501,500,499,499,501,501,501,499,502,500,500,500,499,499,501,501,501,498,501,500
501,500,501,501,501,500,500,500,501,501,502,499,499,500,500,500,498,500,501,501,497,500,500,500
501,500,500,500,502,503,500,500,501,501,503,500,499,500,500,500,499,500,501,501,497,497,500,500
500,501,500,500,500,500,499,500,501,500,503,500,499,500,500,500,501,499,501,501,497,501,499,500
501,500,501,500,500,501,498,498,501,501,500,500,501,500,500,500,499,499,501,501,497,497,500,500
500,500,500,501,501,499,499,498,502,502,500,499,500,499,500,500,499,498,501,501,497,497,500,500
501,501,500,499,502,502,500,498,501,501,503,499,499,499,500,500,499,500,501,501,497,497,500,500
501,501,501,499,501,502,501,500,501,501,500,502,499,500,500,500,499,500,499,501,497,497,498,500
501,501,501,501,500,501,500,500,501,501,500,501,501,499,500,500,499,501,501,501,497,501,500,499
501,501,500,501,500,501,499,501,501,501,500,501,500,499,500,500,499,499,501,501,498,497,500,500
500,500,501,500,502,499,500,500,501,502,501,500,499,500,500,500,499,501,501,501,497,500,500,498
500,501,500,501,502,500,499,500,501,501,500,500,499,501,501,500,497,499,501,501,501,497,500,500
500,501,501,501,501,501,499,499,501,501,500,501,500,498,500,500,501,499,502,501,497,497,500,500
505,501,500,501,502,500,499,496,500,501,500,501,499,499,498,500,499,500,501,501,497,497,498,500
501,501,501,501,500,501,500,500,501,501,499,503,499,499,500,500,499,501,501,501,497,497,500,500
